ID,NAME,ADDRESS,CITY,REGION,POSTALCODE,LAT,LON
ICL0002620,Cakes And Bakers,"Shop No 2, Cafe Nandini Building, Indra Nagar, Gachibowli, Beside Cafe Nandini",Hyderabad,Telangana,500032,17.43289,78.36966
ICL0002681,Ramesh Institute Of Maths & Science,"Beside Vignan Junior College, Habsiguda Main Road, Nagendra Nagar, Near By Silver Jubilee Junior College,Habsiguda",Hyderabad,Telangana,500007,17.41887,78.54205
ICL0002691,A Shardull Ahmed,"Park Lane, Park Lane, Nr Dtdc Courier And Cargo Ltd",Hyderabad,Telangana,500003,17.44134,78.48987
ICL0002696,Naveen Glass House,"1-8-4,Dr. As Rao Nagar Road,North Kamala Nagar,Kushaiguda",Hyderabad,Telangana,500062,17.47657,78.56729
ICL0002708,Divya Pharmaceuticals,"1-9-670/A,Block-9,S V E S Commercial Complex,Vidyanagar",Hyderabad,Telangana,500044,17.40049,78.50812
ICL0002718,Kaamelesh Kirana & General Store,"835/A,Site 3 N R R Puram Colony,Welfare Office,Ameerpet,Site-3,Baba Chilar Nagar,Borabanda",Hyderabad,Telangana,500018,17.45047,78.40703
ICL0003003,Santosh Sweets,"H No 7-149,Cross Road,Habsiguda",Hyderabad,Telangana,500007,17.41903,78.54098
ICL0003042,Siddhartha Solutions,"46,Annapurna Complex,Chaitanyapuri,Dilsukh Nagar",Hyderabad,Telangana,500060,17.36827,78.52904
ICL0003057,Hotel Yatri Nivas,"No 1-8-180/B,S P Road,Opposite Anand Theatre,Main Road",Hyderabad,Telangana,500011,17.4594,78.48004
ICL0003100,B G Enterprises,"G-block,97,Srikunj,Opposite Huda Maitrivanam,Madhura Nagar,Ameerpet",Hyderabad,Telangana,500038,17.43752,78.44501
ICL0003111,S M P Food,"8 - 1 -523/272 6, Near Galaxy, Shaikpet Road, Sabza Colony, Toli Chowki",Hyderabad,Telangana,500008,17.40699,78.40726
ICL0003119,Grace Dry Cleaning Shop,"H.No. 913/1,Near Shivalayam Temple,Tekumudi Vari Street,Temple Alwal,Alwal",Hyderabad,Telangana,500010,17.50371,78.50889
ICL0003134,Sai Leela Enterprises,"1,Sathi Reddy Marg,South Kamala Nagar,Ward No 7 Secunderabad,Moula Ali,Secunderabad",Hyderabad,Telangana,500062,17.47309,78.56972
ICL0003223,Sai Kirana & General Stores,"13-1/2c,Surya Nagar,Near Vegyan Bharti Singh High School,Mallapur",Hyderabad,Telangana,500076,17.44346,78.57628
ICL0003265,Shiva Gift Novelties,"Golnaka,X Road,Amberpet",Hyderabad,Telangana,500013,17.39024,78.50597
ICL0003270,Dhanlakshmi Enterprises,"Shop No 03,D No 1-34-30,S No 241,Main Road,Secunderabad,Bowenpally",Hyderabad,Telangana,500011,17.45846,78.47735
ICL0003343,Axis Bank,"Near Jagdamba Matching Centre, Hyderguda Cross Rd, Gumma Konda Colony, Attapur",Hyderabad,Telangana,500048,17.36395,78.42444
ICL0003370,Crazy Salon,"Opposite G K Nilayam,Ecil Cross Road,North Kamla Nagar",Hyderabad,Telangana,500062,17.47747,78.56741
ICL0003467,Ram Chander Gupta,"22-6-557,Mir Alam Mandi,Near Police Station,Charminar",Hyderabad,Telangana,500002,17.36555,78.47759
ICL0003498,Kotak Mahindra Bank,"The Agroha Co Operative Urban Bank Limited Balanagar Branch 6-3-124/A,Opp. Hpcl Petrol Pump Fatehnagar X Roads Balanagar",Hyderabad,Telangana,500037,17.46617,78.44827
ICL0003501,Moulika Technologies,"9-1-66/3,Ground Floor,S B Road,Opposite Oriental Bank,Shivaji Nagar",Hyderabad,Telangana,500003,17.44209,78.50094
ICL0003518,Prabhu Rubber Work,"16-2-648,Press Road,Malakpet",Hyderabad,Telangana,500059,17.37054,78.50092
ICL0003546,A S Collection Wedding Suit And Dress Meterial,"Patel Market Lane, Rikab Gunj, Ghansi Bazaar",Hyderabad,Telangana,500002,17.367,78.47545
ICL0003579,Sri S Cyber Point Internet Care,"1-7-1002/7/4,P L Apartments,Beside Top Ten Bakery,Ram Nagar",Hyderabad,Telangana,500044,17.41113,78.50765
